Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Batch,Heat,Lot,Note,Sample,Mode,Ag,Ag 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Cd,Cd 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma,Ca,Ca 2-Sigma,K,K 2-Sigma,
3961,Mining,19.84,19.80,,,,"Fri Mar 7, 2025 - 05:42:59",User,1.5,ppm,,,,,LA 24_12,Mining,<LOD,9.0313,130.6078 , 10.1856,<LOD,7.5421,978176.7500 , 292.3672,10.4918 , 2.9186,<LOD,10.6650,<LOD,49.5000,<LOD,52.9433,61.0211 , 4.9268,16320.7305 , 106.5388,<LOD,0.0000,<LOD,5.6039,<LOD,27.9963,<LOD,1.5812,5.7224 , 0.8200,18.1725 , 5.6757,1800.3981 , 10.0182,<LOD,9.3579,20.5176 , 1.1312,<LOD,0.0000,<LOD,18.8182,<LOD,1.9890,<LOD,12.2104,13.0209 , 0.4748,<LOD,0.0000,<LOD,5.2428,3193.2595 , 196.9052,<LOD,3.1530,<LOD,113.0729,<LOD,8.6012,11.1484 , 1.3737,30.5804 , 2.8600,207.5964 , 1.9819,,,,,
3962,Mining,19.81,19.37,,,,"Fri Mar 7, 2025 - 05:43:27",User,1.5,ppm,,,,,LA 24_12,Mining,<LOD,10.1587,111.0025 , 10.5246,<LOD,8.3531,971622.4375 , 346.3268,6.7045 , 3.0694,54.3180 , 21.7298,<LOD,67.1433,<LOD,59.7014,51.7132 , 5.6257,23837.0566 , 138.1097,<LOD,0.0000,4.3968 , 2.7793,<LOD,34.8158,<LOD,1.5428,<LOD,1.2444,36.0109 , 7.3803,1422.4539 , 10.3082,<LOD,10.2922,44.2380 , 1.6238,<LOD,0.0000,148.2625 , 120.6189,<LOD,2.2288,160.1787 , 9.4771,12.7519 , 0.5377,<LOD,0.0000,<LOD,5.5178,2263.2307 , 202.3647,<LOD,2.1659,90.5254 , 83.0196,<LOD,12.4068,6.9088 , 1.4652,39.0518 , 3.5551,88.7609 , 1.6146,,,,,
3963,Mining,44.84,19.16,23.95,,,"Fri Mar 7, 2025 - 05:45:43",User,1.5,ppm,,,,,LA 24_15,Mining,240.0101 , 215.4124,1951.5997 , 85.0110,<LOD,62.0434,919812.2500 , 689.5720,313.6256 , 23.5438,<LOD,21.4989,<LOD,52.5666,<LOD,7.4468,23.5181 , 7.7841,5196.7329 , 98.0071,<LOD,0.0000,212.3448 , 14.3855,<LOD,92.8981,3.4137 , 2.0923,142.5041 , 2.5357,<LOD,25.8024,65675.4141 , 89.8187,<LOD,18.1584,<LOD,7.1319,<LOD,0.0000,762.6022 , 31.1004,284.4573 , 11.9830,1227.0431 , 20.1575,<LOD,3.0406,<LOD,0.0000,<LOD,46.2793,3261.9407 , 38.0136,<LOD,8.8648,14.9148 , 10.2225,<LOD,23.1376,<LOD,17.7658,135.0579 , 8.2278,<LOD,7.7754,<LOD,76.2329,742.5940 , 54.4191,
3964,Mining,19.94,0.00,,,,"Fri Mar 7, 2025 - 05:46:14",User,1.5,ppm,,,,,LA 24_15,Mining,186.3439 , 163.8827,2088.2751 , 75.3632,<LOD,53.0741,933752.6250 , 648.6520,281.4107 , 20.8614,<LOD,16.7346,<LOD,54.2651,<LOD,139.9740,14.8743 , 7.6281,5976.9214 , 105.9365,<LOD,0.0000,199.6780 , 13.3809,<LOD,75.2147,2.6857 , 1.7485,97.3604 , 2.0764,14.6138 , 10.2256,49600.4766 , 72.3350,<LOD,13.5472,<LOD,5.9579,<LOD,0.0000,1052.5709 , 27.5364,159.1316 , 10.0351,1600.7859 , 18.0085,<LOD,2.5457,<LOD,0.0000,<LOD,40.3059,4716.0117 , 328.0440,<LOD,7.5783,141.7473 , 120.7215,<LOD,30.2875,<LOD,14.6975,114.5244 , 7.7762,<LOD,6.3922,,,,,
3965,Mining,19.91,19.38,,,,"Fri Mar 7, 2025 - 05:46:47",User,1.5,ppm,,,,,LA 24_15,Mining,39.8990 , 35.0982,5456.7368 , 24.9600,249.4156 , 17.1494,980085.3125 , 381.3650,218.4199 , 8.9270,<LOD,11.5272,<LOD,34.5895,<LOD,88.5268,<LOD,0.0000,4187.1372 , 73.9281,839.7378 , 43.4691,507.0537 , 42.2764,<LOD,34.5234,4.4475 , 1.3015,<LOD,1.8090,17.0703 , 7.2645,<LOD,0.0000,<LOD,9.4266,18.1419 , 2.4316,<LOD,123.0178,<LOD,28.1517,254.3887 , 6.1233,<LOD,14.1027,15.7732 , 0.8776,808.1495 , 27.9361,461.5419 , 10.5432,6476.1704 , 307.8270,<LOD,8.7106,<LOD,155.1767,<LOD,13.7088,314.2819 , 3.1276,<LOD,0.0000,46.3468 , 2.1882,,,,,
3966,Mining,19.33,19.43,,,,"Fri Mar 7, 2025 - 05:50:13",User,1.5,ppm,,,,,LA 24_10,Mining,<LOD,10.3222,1619.5865 , 24.8987,<LOD,15.9968,923377.6875 , 528.8862,40.1955 , 6.4568,<LOD,12.0791,<LOD,98.0977,<LOD,49.9800,133.3462 , 7.0587,64494.3242 , 186.7060,<LOD,0.0000,<LOD,5.9793,<LOD,40.1214,<LOD,1.7142,7.9534 , 0.9696,37.3271 , 8.6146,7618.5171 , 22.8511,<LOD,10.0069,17.8140 , 1.4965,<LOD,0.0000,<LOD,21.6703,13.4609 , 2.9208,<LOD,14.0995,11.4420 , 0.6562,<LOD,0.0000,<LOD,11.5719,2319.8525 , 165.4240,<LOD,2.6263,<LOD,107.4351,<LOD,11.1796,<LOD,3.9315,235.5572 , 6.7143,72.9364 , 1.7441,,,,,
3967,Mining,18.79,18.95,,,,"Fri Mar 7, 2025 - 05:50:39",User,1.5,ppm,,,,,LA 24_10,Mining,<LOD,10.5712,1272.1550 , 28.3030,<LOD,18.1758,926912.6250 , 516.6074,43.1760 , 7.2995,<LOD,12.3120,<LOD,98.3277,<LOD,53.7018,134.7657 , 7.3354,58911.8164 , 187.6075,<LOD,0.0000,<LOD,10.6491,<LOD,35.8899,<LOD,1.8663,11.5138 , 1.0320,36.0229 , 8.7638,10313.7842 , 27.0036,<LOD,10.1945,17.4702 , 1.6579,<LOD,0.0000,<LOD,22.2434,10.5865 , 3.2744,<LOD,14.4750,8.5479 , 0.7089,<LOD,0.0000,<LOD,13.4623,1940.9667 , 164.9632,<LOD,3.3268,<LOD,107.7139,<LOD,11.3694,<LOD,4.6763,266.0374 , 7.3021,120.5396 , 2.1649,,,,,
3968,Mining,20.34,19.77,,,,"Fri Mar 7, 2025 - 05:51:09",User,1.5,ppm,,,,,LA 24_10,Mining,<LOD,9.5809,1336.7781 , 21.8978,<LOD,14.4475,936927.9375 , 457.5864,33.4755 , 5.6965,<LOD,11.1535,<LOD,86.5629,<LOD,51.1304,125.5721 , 6.6029,51398.7891 , 166.7711,<LOD,0.0000,9.4979 , 3.8129,<LOD,33.1198,<LOD,1.6699,10.8221 , 0.9568,26.4193 , 7.6998,6451.4731 , 20.0121,<LOD,9.3454,24.4202 , 1.4942,<LOD,0.0000,<LOD,19.9843,18.5595 , 2.7049,<LOD,13.0111,35.9960 , 0.7888,<LOD,0.0000,<LOD,10.2356,3230.6357 , 180.6263,<LOD,3.1548,<LOD,107.1155,<LOD,10.9872,<LOD,3.5814,247.0144 , 6.5483,122.5729 , 1.9218,,,,,
3969,Mining,20.18,19.52,,,,"Fri Mar 7, 2025 - 05:54:09",User,1.5,ppm,,,,,LA 24_21,Mining,133.5558 , 117.4494,1935.6754 , 56.2766,<LOD,35.5260,617502.6250 , 3499.2776,62.8141 , 14.5274,<LOD,23.0150,<LOD,392.8858,<LOD,91.1222,357.3823 , 18.3927,362842.7500 , 409.3914,<LOD,0.0000,30.1414 , 9.9908,<LOD,109.7654,10.6225 , 2.1629,14.5546 , 1.9070,<LOD,64.3734,14793.7822 , 54.7305,<LOD,19.9258,<LOD,4.8093,<LOD,0.0000,102.6606 , 83.5103,<LOD,10.8836,252.9469 , 18.8578,3.9735 , 1.2707,<LOD,0.0000,<LOD,25.7418,1260.6089 , 130.3060,<LOD,4.2484,<LOD,141.0776,43.7693 , 19.4385,<LOD,9.6933,621.0113 , 18.0973,31.1416 , 2.7936,,,,,
3970,Mining,20.02,19.25,,,,"Fri Mar 7, 2025 - 05:54:36",User,1.5,ppm,,,,,LA 24_21,Mining,283.1292 , 248.8530,2687.8601 , 87.1409,<LOD,56.6847,470284.3438 , 6403.1777,123.1700 , 22.9158,<LOD,30.1457,<LOD,413.5378,<LOD,116.4268,481.9574 , 27.2601,501150.2188 , 524.1243,<LOD,0.0000,<LOD,27.0789,<LOD,152.8668,12.3115 , 2.9568,21.4604 , 2.6072,<LOD,127.1695,22143.3047 , 85.0810,<LOD,25.9377,<LOD,5.0397,<LOD,0.0000,289.8890 , 235.6886,<LOD,22.3392,554.5956 , 25.9781,8.7076 , 1.9574,<LOD,0.0000,<LOD,38.9162,1062.6600 , 135.5646,<LOD,6.1871,<LOD,175.8330,<LOD,42.8463,<LOD,14.9853,845.0583 , 26.8776,51.3374 , 4.0874,,,,,
3971,Mining,19.95,19.83,,,,"Fri Mar 7, 2025 - 05:55:01",User,1.5,ppm,,,,,LA 24_21,Mining,228.8967 , 201.2152,2340.3481 , 76.1515,<LOD,50.4269,526263.1250 , 5413.4536,94.3117 , 19.8763,<LOD,28.4419,<LOD,412.8685,<LOD,113.3484,411.8716 , 23.9072,448951.6875 , 498.0420,<LOD,0.0000,<LOD,22.6052,65.5661 , 53.3851,13.2744 , 2.7650,18.7113 , 2.4333,<LOD,91.1219,18921.0664 , 74.3852,<LOD,31.5992,<LOD,4.5298,<LOD,0.0000,252.7332 , 205.5096,<LOD,17.0247,512.1758 , 24.1311,12.2905 , 1.7952,<LOD,0.0000,<LOD,34.7688,1115.9736 , 137.1198,<LOD,6.3449,<LOD,170.5055,<LOD,57.8345,<LOD,13.0862,756.7353 , 24.0040,41.2131 , 3.7230,,,,,
3972,Mining,20.26,19.80,,,,"Fri Mar 7, 2025 - 05:57:36",User,1.5,ppm,,,,,LA 24_27,Mining,63.0435 , 55.4558,707.0352 , 43.9526,<LOD,28.7554,748632.5625 , 1709.9491,73.3974 , 11.5153,<LOD,17.8095,<LOD,193.2468,<LOD,71.8274,399.6736 , 15.0405,231158.2500 , 313.1897,<LOD,0.0000,<LOD,15.3202,<LOD,68.2528,3.3501 , 1.7162,16.3698 , 1.5247,189.2530 , 23.9233,15858.5264 , 44.6369,<LOD,14.9851,4.4651 , 2.2269,<LOD,0.0000,<LOD,32.9527,9.3808 , 5.1139,130.1061 , 14.5507,6.5720 , 1.0634,<LOD,0.0000,<LOD,21.5500,1966.0056 , 143.3216,<LOD,4.2566,<LOD,122.4119,<LOD,20.5155,<LOD,7.8029,716.2021 , 15.1948,65.7928 , 2.6490,,,,,
3973,Mining,20.37,19.70,,,,"Fri Mar 7, 2025 - 05:58:08",User,1.5,ppm,,,,,LA 24_27,Mining,39.2626 , 34.5384,685.2133 , 40.0216,<LOD,25.1240,762908.6875 , 1648.0237,49.8063 , 10.3764,<LOD,16.9659,<LOD,192.1947,<LOD,73.6437,332.5352 , 14.0296,220883.2344 , 314.1803,<LOD,0.0000,<LOD,15.1398,<LOD,80.7699,<LOD,2.9488,10.7195 , 1.4443,146.3966 , 23.2513,12772.5068 , 40.4174,<LOD,14.0460,8.8137 , 2.1505,<LOD,0.0000,<LOD,31.1717,<LOD,9.5802,90.4150 , 13.8063,5.5863 , 0.9770,<LOD,0.0000,<LOD,19.4920,1409.8893 , 134.8431,<LOD,4.0894,<LOD,120.1094,<LOD,19.6317,<LOD,7.1266,601.1653 , 14.0801,55.7255 , 2.4427,,,,,
3974,Mining,19.18,18.98,,,,"Fri Mar 7, 2025 - 05:58:37",User,1.5,ppm,,,,,LA 24_27,Mining,20.0908 , 17.6739,540.6179 , 35.9814,<LOD,23.9895,803549.8750 , 1329.8556,55.1616 , 9.4807,<LOD,16.2897,<LOD,174.2945,<LOD,67.7583,326.8324 , 13.2408,181047.1094 , 293.6143,<LOD,0.0000,<LOD,13.5266,<LOD,56.7537,<LOD,3.0226,11.8117 , 1.3843,176.7264 , 19.4408,11344.6318 , 36.4253,<LOD,13.5133,14.0682 , 2.0806,<LOD,0.0000,<LOD,29.8418,<LOD,6.2938,40.9503 , 13.1290,8.4942 , 0.9302,<LOD,0.0000,<LOD,17.7840,2238.4951 , 157.0303,<LOD,3.7275,<LOD,121.2645,<LOD,17.2535,<LOD,6.4233,533.6429 , 12.7293,91.4838 , 2.5738,,,,,
3975,Mining,19.18,18.97,,,,"Fri Mar 7, 2025 - 05:59:27",User,1.5,ppm,,,,,LA 24_20,Mining,99.9009 , 87.8361,1484.2771 , 50.7028,<LOD,34.6631,960262.6875 , 421.8534,231.1887 , 14.1359,<LOD,16.5256,<LOD,35.8861,<LOD,69.0453,15.0826 , 5.7756,3658.8752 , 73.1036,<LOD,0.0000,117.8913 , 9.0372,<LOD,65.1557,<LOD,3.2762,50.9897 , 1.4983,<LOD,13.8173,29572.8203 , 49.3201,<LOD,14.3333,<LOD,6.5511,<LOD,0.0000,267.5274 , 217.5807,50.4396 , 6.2688,487.1837 , 13.8841,<LOD,1.6969,<LOD,0.0000,<LOD,26.3502,3550.0479 , 265.4016,<LOD,5.1005,<LOD,154.5808,28.7880 , 9.9259,<LOD,9.1179,105.6568 , 6.1282,16.6420 , 2.6992,,,,,
3976,Mining,19.81,19.54,,,,"Fri Mar 7, 2025 - 05:59:56",User,1.5,ppm,,,,,LA 24_20,Mining,125.4479 , 110.2804,1961.6073 , 57.3113,<LOD,38.7771,949221.9375 , 497.7674,323.4481 , 16.2621,<LOD,17.5658,<LOD,39.3991,<LOD,75.4238,20.0728 , 6.0785,4102.9839 , 76.7801,<LOD,0.0000,152.5866 , 10.0811,<LOD,44.1782,4.0239 , 1.6255,67.5801 , 1.6805,<LOD,12.3879,38282.8633 , 57.4947,<LOD,15.1653,<LOD,4.5836,<LOD,0.0000,343.8641 , 279.6213,62.2920 , 7.0321,638.4230 , 15.0764,<LOD,1.9197,<LOD,0.0000,<LOD,30.4681,4547.6128 , 283.9334,<LOD,5.9048,<LOD,202.6241,<LOD,18.8134,<LOD,10.7365,136.0815 , 6.7594,9.1582 , 3.1382,,,,,
3977,Mining,19.19,19.01,,,,"Fri Mar 7, 2025 - 06:00:21",User,1.5,ppm,,,,,LA 24_20,Mining,<LOD,8.3454,452.9406 , 16.9762,<LOD,11.4215,989614.5000 , 187.7289,49.8569 , 4.7556,<LOD,9.9101,<LOD,23.7999,<LOD,45.0448,<LOD,5.9042,3694.3406 , 55.1077,<LOD,0.0000,59.4418 , 3.9887,<LOD,25.7172,2.2270 , 0.9099,11.4977 , 0.8119,<LOD,9.9611,5283.9980 , 16.2186,<LOD,8.7215,4.0474 , 1.0008,<LOD,0.0000,<LOD,17.2332,12.0402 , 2.1429,<LOD,11.1966,3.7283 , 0.4575,<LOD,0.0000,<LOD,8.4609,707.7671 , 147.6727,<LOD,2.2655,<LOD,91.0524,<LOD,8.5157,<LOD,2.7622,91.2827 , 3.9876,12.3377 , 0.9803,,,,,
3978,Mining,19.38,19.22,,,,"Fri Mar 7, 2025 - 06:03:45",User,1.5,ppm,,,,,LA 24_29,Mining,<LOD,13.5868,687.8370 , 36.7040,<LOD,23.3314,814052.2500 , 1163.7609,52.6388 , 9.5038,<LOD,15.4452,<LOD,161.1554,<LOD,64.6748,776.0862 , 17.7568,168204.5000 , 273.3492,<LOD,0.0000,<LOD,8.2742,<LOD,64.5876,2.5609 , 1.5228,15.4331 , 1.3470,144.0722 , 17.3938,13443.5439 , 37.0250,<LOD,12.8217,8.6752 , 1.9464,<LOD,0.0000,<LOD,27.9626,<LOD,6.1464,<LOD,18.4296,4.3564 , 0.8794,<LOD,0.0000,<LOD,18.0492,1949.9801 , 145.9551,<LOD,3.6021,<LOD,116.4180,<LOD,16.9554,<LOD,6.4563,586.6688 , 12.5533,71.3376 , 2.3614,,,,,
3979,Mining,19.95,19.72,,,,"Fri Mar 7, 2025 - 06:04:13",User,1.5,ppm,,,,,LA 24_29,Mining,58.9798 , 51.8815,835.4650 , 49.3804,<LOD,31.9992,750875.0625 , 1799.0571,48.0361 , 12.5120,<LOD,18.2988,<LOD,199.6718,<LOD,76.7126,1094.0294 , 23.8705,225813.4688 , 325.1240,<LOD,0.0000,<LOD,10.8877,<LOD,54.8541,<LOD,3.9448,19.9944 , 1.5872,168.8707 , 24.2617,18793.5117 , 49.8833,<LOD,15.4118,<LOD,5.7292,<LOD,0.0000,<LOD,33.7447,<LOD,8.3474,127.2163 , 14.8796,<LOD,1.7855,<LOD,0.0000,<LOD,24.0641,1226.5743 , 133.9930,<LOD,4.2621,<LOD,121.2357,<LOD,21.9232,<LOD,8.6868,898.8951 , 17.5988,39.8432 , 2.6675,,,,,
3980,Mining,19.71,19.44,,,,"Fri Mar 7, 2025 - 06:04:40",User,1.5,ppm,,,,,LA 24_29,Mining,38.5904 , 33.9471,1881.8350 , 61.5026,<LOD,39.6472,774350.5000 , 1647.3516,106.2322 , 15.8612,<LOD,18.8031,<LOD,196.2296,<LOD,77.5319,807.5428 , 20.9274,191082.0000 , 326.8968,<LOD,0.0000,<LOD,13.0796,<LOD,92.3907,3.1297 , 1.8427,44.4617 , 1.7729,150.6216 , 21.7256,28587.0547 , 60.8863,<LOD,15.7342,<LOD,4.3379,<LOD,0.0000,<LOD,34.5316,<LOD,10.2041,64.1904 , 15.1770,<LOD,1.9294,<LOD,0.0000,<LOD,30.3396,2192.0061 , 166.3055,<LOD,6.7102,<LOD,136.7921,<LOD,22.2698,<LOD,10.3657,654.6822 , 15.3161,37.1575 , 3.1746,,,,,
3981,Mining,19.66,19.57,,,,"Fri Mar 7, 2025 - 06:05:37",User,1.5,ppm,,,,,LA 24_23,Mining,183.9957 , 161.7418,2001.9060 , 69.0288,<LOD,44.4703,620952.4375 , 3561.7371,93.3729 , 17.8732,<LOD,24.9102,<LOD,276.3394,<LOD,96.5079,473.3356 , 21.4346,352025.6562 , 418.6849,<LOD,0.0000,45.9295 , 11.6177,54.4289 , 46.2063,8.7157 , 2.3306,7.9400 , 2.1009,137.1352 , 42.3554,21849.9707 , 68.3048,<LOD,21.3576,<LOD,4.8272,<LOD,0.0000,311.4362 , 253.2399,18.5036 , 7.9059,542.6622 , 21.0670,<LOD,2.9476,<LOD,0.0000,<LOD,32.9318,896.9272 , 131.5588,<LOD,6.5049,<LOD,147.2727,<LOD,31.1545,<LOD,12.5682,368.9761 , 15.2038,26.6728 , 3.3425,,,,,
3982,Mining,20.51,19.87,,,,"Fri Mar 7, 2025 - 06:06:03",User,1.5,ppm,,,,,LA 24_23,Mining,229.3395 , 201.5473,2431.7961 , 74.8767,<LOD,48.4003,577975.3750 , 4196.0737,135.1346 , 19.7383,<LOD,25.6645,<LOD,289.8397,<LOD,99.8066,554.2614 , 23.6395,391826.7188 , 434.7521,<LOD,0.0000,41.9527 , 12.3730,<LOD,107.6007,12.8667 , 2.5020,9.8304 , 2.2662,126.4079 , 47.1247,24092.2305 , 73.6721,<LOD,22.1319,13.0227 , 3.6833,<LOD,0.0000,439.5919 , 357.3521,23.0738 , 8.5805,760.9494 , 22.4129,<LOD,2.4210,<LOD,0.0000,<LOD,35.5907,833.2125 , 127.0230,<LOD,6.5139,<LOD,148.7477,<LOD,30.9340,<LOD,16.5492,445.5278 , 17.0167,48.7681 , 3.7423,,,,,
3983,Mining,19.26,19.30,,,,"Fri Mar 7, 2025 - 06:06:31",User,1.5,ppm,,,,,LA 24_23,Mining,231.1874 , 203.1800,2248.3987 , 77.2770,<LOD,51.0274,584146.3125 , 4238.1035,126.4851 , 20.2784,<LOD,26.6767,<LOD,298.1690,<LOD,107.9518,553.7667 , 24.4176,385598.5625 , 448.9036,<LOD,0.0000,22.8801 , 12.2932,<LOD,102.7078,9.9647 , 2.5051,13.2559 , 2.3527,173.7065 , 48.0886,24310.9551 , 76.3653,<LOD,22.8388,<LOD,5.1988,<LOD,0.0000,409.0341 , 332.5254,19.6497 , 8.9377,718.5721 , 23.0315,<LOD,2.4932,<LOD,0.0000,<LOD,37.0119,939.5195 , 134.7674,<LOD,6.3303,<LOD,159.7327,<LOD,31.6905,<LOD,14.1600,443.2051 , 17.5126,34.5218 , 3.7561,,,,,
3984,Mining,19.39,19.23,,,,"Fri Mar 7, 2025 - 06:33:36",User,1.5,ppm,,,,,test,Mining,<LOD,11.3741,<LOD,3.7160,<LOD,5.7837,862313.3125 , 896.2344,<LOD,2.2957,<LOD,13.2063,<LOD,132.1337,7682.3159 , 118.5870,12.9872 , 6.9679,125348.7422 , 228.5323,<LOD,0.0000,<LOD,3.0604,3016.9497 , 77.3473,<LOD,1.6739,<LOD,1.3621,1436.9935 , 28.5631,23.2165 , 1.8595,<LOD,11.2220,<LOD,1.1576,<LOD,0.0000,<LOD,23.3505,<LOD,1.5170,<LOD,15.2176,22.9615 , 0.6431,<LOD,0.0000,<LOD,1.3979,<LOD,252.6777,<LOD,2.1343,<LOD,108.3915,<LOD,0.0000,1.7586 , 0.7457,135.1277 , 5.6199,5.6215 , 0.8700,,,,,
3985,Mining,19.39,19.23,,,,"Fri Mar 7, 2025 - 06:33:36",User,1.5,ppm,,,,,test,Mining,<LOD,11.3741,<LOD,3.7160,<LOD,5.7837,862313.3125 , 896.2344,<LOD,2.2957,<LOD,13.2063,<LOD,132.1337,7682.3159 , 118.5870,12.9872 , 6.9679,125348.7422 , 228.5323,<LOD,0.0000,<LOD,3.0604,3016.9497 , 77.3473,<LOD,1.6739,<LOD,1.3621,1436.9935 , 28.5631,23.2165 , 1.8595,<LOD,11.2220,<LOD,1.1576,<LOD,0.0000,<LOD,23.3505,<LOD,1.5170,<LOD,15.2176,22.9615 , 0.6431,<LOD,0.0000,<LOD,1.3979,<LOD,252.6777,<LOD,2.1343,<LOD,108.3915,<LOD,0.0000,1.7586 , 0.7457,135.1277 , 5.6199,5.6215 , 0.8700,,,,,
3986,Mining,3.50,3.08,,,,"Fri Mar 7, 2025 - 06:46:31",User,1.5,ppm,,,,,test,Mining,215.8390 , 189.8134,2275.8708 , 328.9459,<LOD,226.5316,430439.9375 , 27489.5977,<LOD,169.6271,<LOD,135.4960,<LOD,1633.5478,<LOD,541.5207,294.1919 , 108.8669,552148.6875 , 2420.2439,<LOD,0.0000,<LOD,65.5760,<LOD,503.4041,<LOD,22.1959,<LOD,24.1013,<LOD,746.8597,13761.1523 , 315.5642,<LOD,114.2562,30.5130 , 20.1141,<LOD,0.0000,<LOD,388.7537,<LOD,78.7814,508.1323 , 116.5023,19.3592 , 8.3630,<LOD,0.0000,<LOD,147.6519,<LOD,1376.7153,<LOD,42.8841,<LOD,798.7006,<LOD,164.4223,<LOD,53.4563,306.3253 , 81.4863,<LOD,30.6043,,,,,
3987,Mining,3.66,3.42,,,,"Fri Mar 7, 2025 - 06:47:29",User,1.5,ppm,,,,,test,Mining,<LOD,159.2873,<LOD,1571.5034,<LOD,180.3001,<LOD,1249395.0000,<LOD,45.1742,<LOD,69.8600,<LOD,3362.0156,<LOD,316.1900,<LOD,422.3172,<LOD,1230472.3125,<LOD,0.0000,<LOD,36.5115,<LOD,1224.8405,<LOD,17.2614,<LOD,8.0463,<LOD,222.4324,5718.0264 , 4053.8486,<LOD,104.6210,<LOD,35.1197,<LOD,0.0000,<LOD,209.2825,<LOD,29.3092,<LOD,163.3157,<LOD,9.6439,<LOD,0.0000,<LOD,164.1431,<LOD,1496.9070,<LOD,23.2946,<LOD,2109.1917,<LOD,132.2166,<LOD,27.3384,<LOD,249.9388,<LOD,18.7459,,,,,
3988,Mining,1.70,1.52,,,,"Fri Mar 7, 2025 - 06:48:12",User,1.5,ppm,,,,,test,Mining,<LOD,393.9706,2926.6191 , 770.6444,<LOD,308.3023,516651.2188 , 43674.0820,<LOD,305.9505,<LOD,286.7323,<LOD,5285.4803,<LOD,1530.3292,492.9754 , 265.3619,464316.0000 , 5284.6328,<LOD,0.0000,<LOD,162.2231,<LOD,894.6010,<LOD,62.6488,<LOD,48.1347,<LOD,974.8869,15613.1895 , 729.1871,<LOD,250.8145,<LOD,41.3961,<LOD,0.0000,<LOD,659.6588,<LOD,182.6006,<LOD,538.0777,<LOD,30.0617,<LOD,0.0000,<LOD,447.3701,<LOD,1808.8845,<LOD,115.4281,<LOD,1303.3682,<LOD,713.7731,<LOD,120.6758,<LOD,349.3186,<LOD,48.7589,,,,,
3989,Mining,1.52,1.38,,,,"Fri Mar 7, 2025 - 06:48:41",User,1.5,ppm,,,,,test,Mining,237.1860 , 208.5791,2114.2837 , 805.2152,<LOD,532.9356,462231.2500 , 46932.8164,<LOD,412.7258,<LOD,282.5891,<LOD,5399.5247,<LOD,839.1888,<LOD,597.8786,517020.5938 , 5859.9155,<LOD,0.0000,<LOD,248.9317,<LOD,1413.1126,<LOD,35.3452,<LOD,31.5915,<LOD,1089.7137,18396.6543 , 791.1983,<LOD,231.5484,<LOD,45.5881,<LOD,0.0000,<LOD,898.4515,<LOD,147.1553,<LOD,596.3041,<LOD,26.5688,<LOD,0.0000,<LOD,369.4858,<LOD,5720.9037,<LOD,39.4787,<LOD,2073.6064,<LOD,334.3488,<LOD,139.0957,<LOD,234.8709,<LOD,53.4121,,,,,
3990,Mining,2.50,2.11,,,,"Fri Mar 7, 2025 - 06:51:53",User,1.5,ppm,,,,,la_24_25,Mining,409.3372 , 359.8657,8532.4902 , 1011.4268,<LOD,647.0892,518947.4375 , 38957.5703,<LOD,478.5774,<LOD,399.6559,<LOD,2847.6504,<LOD,1004.5742,1187.4502 , 311.7946,418710.1875 , 4362.1831,<LOD,0.0000,<LOD,430.3604,<LOD,596.8473,62.2451 , 32.0047,<LOD,51.0164,<LOD,1029.2157,46504.7422 , 952.7480,<LOD,217.8763,<LOD,100.0037,<LOD,0.0000,1140.4971 , 376.1805,<LOD,210.8139,1880.8495 , 251.9852,<LOD,34.0605,<LOD,0.0000,<LOD,472.9595,1872.2819 , 1401.3394,<LOD,97.2030,<LOD,1474.3788,<LOD,424.7679,<LOD,179.2603,752.4933 , 206.8745,<LOD,86.9203,,,,,
3991,Mining,5.51,5.11,,,,"Fri Mar 7, 2025 - 06:52:18",User,1.5,ppm,,,,,la_24_25,Mining,307.1160 , 269.9330,2115.3396 , 264.0395,<LOD,167.2107,394248.4688 , 21834.5039,145.3394 , 71.5331,<LOD,95.7458,<LOD,1322.1945,<LOD,477.8145,542.8385 , 92.3237,580138.0625 , 1718.9094,<LOD,0.0000,<LOD,64.8191,<LOD,465.8659,<LOD,17.4553,17.5777 , 8.3498,<LOD,382.4178,20157.8906 , 261.7470,<LOD,80.8834,<LOD,33.5084,<LOD,0.0000,270.9819 , 220.3142,<LOD,66.9517,1090.5857 , 88.0831,<LOD,14.0058,<LOD,0.0000,<LOD,128.3379,717.4227 , 369.2721,<LOD,22.3011,<LOD,510.6655,<LOD,152.7473,<LOD,45.3836,225.9956 , 52.1425,22.3918 , 12.8255,,,,,
