Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Batch,Heat,Lot,Note,Sample,Mode,Ag,Ag 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Ba,Ba 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Ca,Ca 2-Sigma,Cd,Cd 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,K,K 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma,
3036,Mining,20.34,19.87,,,,"Thu Feb 29, 2024 - 09:51:50",User,1.5,ppm,,,,,LMW18,Mining,282.1995 , 248.1453,4383.1201 , 97.9916,<LOD,67.0668,,,826183.5000 , 1658.1978,370.7376 , 26.8655,,,<LOD,22.8792,<LOD,177.8810,<LOD,97.2435,165.3927 , 12.5679,87849.7734 , 314.1190,<LOD,0.0000,197.5466 , 16.3108,,,117.1194 , 41.5419,11.7006 , 2.5430,85.1883 , 2.9268,71.4366 , 16.9005,70725.9453 , 101.0655,<LOD,19.4718,16.8478 , 5.7691,<LOD,0.0000,926.5301 , 33.6511,27.0597 , 11.5520,2235.6572 , 24.0206,<LOD,4.1272,<LOD,0.0000,<LOD,53.1537,5740.2852 , 303.4584,<LOD,10.7686,176.3401 , 112.6289,28.5090 , 16.4015,<LOD,20.5745,360.9153 , 12.8018,44.2376 , 6.0497,
3037,Mining,19.82,19.69,,,,"Thu Feb 29, 2024 - 09:52:19",User,1.5,ppm,,,,,LMW18,Mining,272.6564 , 239.7575,28348.5820 , 79.9917,1096.4009 , 47.1816,,,853533.6875 , 1677.9741,1125.3107 , 28.3491,,,<LOD,22.2744,<LOD,184.4982,<LOD,134.1734,<LOD,0.0000,89217.7891 , 330.3563,4441.3608 , 129.8719,1429.8192 , 127.6778,,,211.3602 , 45.1795,53.2574 , 2.9737,<LOD,4.6676,125.8141 , 18.7781,<LOD,0.0000,<LOD,21.7226,159.0085 , 8.2125,<LOD,386.9535,906.2840 , 32.0922,129.2744 , 12.2316,1869.2537 , 22.5848,134.8558 , 3.1476,2957.2383 , 77.7286,3311.4978 , 38.7628,8198.4746 , 353.6528,<LOD,27.8040,289.6091 , 126.2460,<LOD,35.9285,2188.4312 , 12.6806,<LOD,0.0000,<LOD,9.3869,
3038,Mining,19.58,18.92,,,,"Thu Feb 29, 2024 - 09:52:48",User,1.5,ppm,,,,,LMW18,Mining,345.0115 , 303.3463,5085.8672 , 108.1829,<LOD,74.9279,,,809463.1875 , 2065.9377,432.6405 , 29.9736,,,<LOD,26.0074,<LOD,205.0266,88.6073 , 60.7256,215.5805 , 14.8598,101536.0547 , 356.9836,<LOD,0.0000,296.7184 , 19.2869,,,124.3588 , 46.5012,12.9616 , 2.8545,81.4959 , 3.2638,33.0020 , 18.7620,71518.2812 , 111.1917,39.1657 , 15.0074,30.6338 , 6.5268,<LOD,0.0000,1090.9830 , 38.4805,42.7875 , 12.9134,2671.6807 , 27.7553,9.8354 , 2.8260,<LOD,0.0000,<LOD,58.7804,6149.3140 , 329.9199,<LOD,12.2014,141.7261 , 120.2514,<LOD,49.4451,<LOD,22.7706,508.8711 , 16.1049,81.2575 , 6.8310,
3039,Mining,19.79,19.80,,,,"Thu Feb 29, 2024 - 09:53:47",User,1.5,ppm,,,,,LMW16,Mining,<LOD,10.7482,612.6437 , 26.0343,<LOD,17.3278,,,944706.4375 , 450.9915,22.1755 , 6.5901,,,<LOD,12.5984,<LOD,86.2047,<LOD,55.6374,309.8787 , 9.8178,42174.8125 , 166.8756,<LOD,0.0000,<LOD,8.6090,,,83.5956 , 25.7858,<LOD,1.7093,3.0357 , 1.0384,11.8364 , 7.9462,9669.1660 , 25.3939,<LOD,10.7193,66.2723 , 2.1858,<LOD,0.0000,<LOD,22.6601,<LOD,4.4428,32.5212 , 9.8633,41.2136 , 0.9261,<LOD,0.0000,<LOD,12.6787,1982.2292 , 173.6550,<LOD,2.9851,<LOD,137.9074,<LOD,11.4561,11.8159 , 3.2688,187.6900 , 6.2703,84.6621 , 1.9330,
3040,Mining,19.14,18.96,,,,"Thu Feb 29, 2024 - 09:54:14",User,1.5,ppm,,,,,LMW16,Mining,<LOD,9.0140,392.6917 , 14.9263,<LOD,9.9729,,,969878.0625 , 303.7840,10.8111 , 3.8930,,,<LOD,10.7507,<LOD,60.8078,<LOD,46.4412,165.1276 , 6.8500,24103.2930 , 125.6553,<LOD,0.0000,9.2257 , 2.9219,,,87.9735 , 23.0029,<LOD,1.4937,7.2387 , 0.8701,11.7181 , 6.0688,3616.5386 , 14.3482,<LOD,9.4039,48.1350 , 1.5857,<LOD,0.0000,<LOD,18.7299,<LOD,2.6090,<LOD,12.1509,33.4042 , 0.6804,<LOD,0.0000,<LOD,7.1848,1422.5377 , 157.7189,<LOD,3.6646,<LOD,100.5277,<LOD,9.1045,2.9933 , 1.8212,157.0507 , 5.1396,53.1944 , 1.3097,
3041,Mining,20.19,19.40,,,,"Thu Feb 29, 2024 - 09:54:51",User,1.5,ppm,,,,,LMW16,Mining,<LOD,10.2624,561.5360 , 22.9186,<LOD,14.7203,,,949795.7500 , 412.9567,25.3665 , 5.8874,,,<LOD,12.0329,<LOD,79.4773,41.4485 , 35.8650,275.2031 , 8.9839,38637.2891 , 155.9959,<LOD,0.0000,<LOD,8.6078,,,84.3297 , 25.1378,<LOD,1.6599,6.7226 , 1.0175,19.5516 , 7.5063,8009.1045 , 22.3308,<LOD,10.3298,78.4917 , 2.1750,<LOD,0.0000,<LOD,21.5510,<LOD,3.8555,<LOD,15.4144,44.6271 , 0.8825,<LOD,0.0000,<LOD,11.1919,2055.4834 , 171.0145,<LOD,4.6839,77.7796 , 71.0738,<LOD,10.7201,15.9517 , 2.8900,190.3540 , 6.0213,81.0294 , 1.7756,
3042,Mining,20.25,19.87,,,,"Thu Feb 29, 2024 - 09:56:24",User,1.5,ppm,,,,,LMW10,Mining,118.5403 , 104.2278,648.9911 , 44.3786,<LOD,29.1475,,,725348.6875 , 2316.8962,29.5972 , 11.2618,,,<LOD,19.7137,<LOD,222.7274,<LOD,84.4435,349.4477 , 16.0416,258501.5312 , 359.9814,<LOD,0.0000,<LOD,18.0406,,,109.3430 , 40.7491,3.8408 , 1.8159,6.7409 , 1.5674,70.2926 , 29.4764,12753.4629 , 44.9795,<LOD,16.8621,5.1968 , 2.2736,<LOD,0.0000,225.6558 , 183.5324,<LOD,7.5905,415.9312 , 16.4153,4.5049 , 1.0750,<LOD,0.0000,<LOD,21.1717,971.1506 , 130.6157,<LOD,4.3968,<LOD,128.2135,<LOD,25.4396,<LOD,8.0778,385.2812 , 12.9603,51.8593 , 2.6358,
3043,Mining,19.33,19.26,,,,"Thu Feb 29, 2024 - 09:56:55",User,1.5,ppm,,,,,LMW10,Mining,132.0810 , 116.1221,796.9115 , 45.8741,<LOD,29.7288,,,711215.4375 , 2437.3142,54.1676 , 11.9259,,,<LOD,23.0504,<LOD,224.6196,<LOD,84.7541,385.5707 , 16.7590,271504.7812 , 357.5319,<LOD,0.0000,<LOD,17.5151,,,69.5176 , 40.0248,3.1167 , 1.8653,10.6440 , 1.6473,131.6213 , 30.3884,13426.8770 , 46.3079,<LOD,17.7813,10.5430 , 2.4132,<LOD,0.0000,276.8319 , 225.1330,<LOD,7.7497,486.1768 , 17.2174,5.6870 , 1.1142,<LOD,0.0000,<LOD,22.0993,974.6866 , 128.8795,<LOD,4.3029,<LOD,129.3401,<LOD,25.9307,<LOD,8.2901,451.6606 , 13.9377,63.6679 , 2.8059,
3044,Mining,19.00,19.09,,,,"Thu Feb 29, 2024 - 09:57:25",User,1.5,ppm,,,,,LMW10,Mining,115.9087 , 101.9214,725.8301 , 46.5688,<LOD,29.6770,,,720398.1250 , 2417.7437,32.4489 , 11.8284,,,<LOD,20.3554,<LOD,230.1001,<LOD,85.0490,338.4630 , 16.3430,263294.0938 , 370.9143,<LOD,0.0000,<LOD,12.4837,,,<LOD,100.8019,3.4618 , 1.8425,7.0771 , 1.6241,75.2470 , 30.5173,13153.1348 , 47.0763,<LOD,17.4234,<LOD,5.3967,<LOD,0.0000,180.3835 , 146.7219,<LOD,7.8213,404.8999 , 16.9569,4.0874 , 1.1126,<LOD,0.0000,<LOD,22.2718,823.0494 , 129.8059,<LOD,4.3800,<LOD,131.2864,<LOD,23.1845,<LOD,8.4382,410.4800 , 13.7115,33.3116 , 2.5521,
3045,Mining,19.03,18.93,,,,"Thu Feb 29, 2024 - 09:58:00",User,1.5,ppm,,,,,LMW10,Mining,186.3505 , 163.8096,898.3225 , 56.7438,<LOD,38.1415,,,666493.2500 , 3118.9824,49.9450 , 14.4721,,,<LOD,24.1802,<LOD,252.3434,<LOD,91.1320,448.4392 , 19.5094,311378.3125 , 395.1881,<LOD,0.0000,<LOD,19.7393,,,83.6541 , 43.8798,6.4216 , 2.0988,12.6731 , 1.9017,106.5791 , 36.2659,17617.8828 , 57.5013,39.3987 , 13.5022,6.0268 , 2.7987,<LOD,0.0000,317.5848 , 258.2362,<LOD,12.1140,624.4324 , 19.6795,6.3614 , 1.3517,<LOD,0.0000,<LOD,27.1215,1155.2218 , 136.2844,<LOD,5.1117,<LOD,155.4316,<LOD,37.5800,<LOD,10.4041,524.6617 , 16.3308,44.4690 , 3.0614,
3046,Mining,19.44,19.00,,,,"Thu Feb 29, 2024 - 09:59:58",User,1.5,ppm,,,,,LMW24,Mining,428.2614 , 376.4911,8564.7520 , 114.8918,<LOD,78.4746,,,765045.0000 , 2483.2959,442.6827 , 31.6669,,,<LOD,25.9011,<LOD,235.1933,<LOD,155.1609,315.4753 , 17.6206,142086.2031 , 401.7645,<LOD,0.0000,366.8614 , 21.3694,,,73.4156 , 46.4710,20.9225 , 2.9731,59.4806 , 3.2215,67.0953 , 22.8760,71200.3672 , 115.8662,<LOD,21.8705,27.4591 , 6.7017,<LOD,0.0000,1458.1871 , 40.8957,47.8094 , 13.5105,3529.8726 , 30.3763,7.0558 , 2.8768,<LOD,0.0000,<LOD,61.6617,5365.6069 , 300.5661,<LOD,12.9003,179.6192 , 114.3241,<LOD,54.7660,<LOD,23.4113,679.3314 , 18.9441,34.5145 , 6.7196,
3047,Mining,20.07,19.29,,,,"Thu Feb 29, 2024 - 10:00:28",User,1.5,ppm,,,,,LMW24,Mining,563.8206 , 495.5092,44914.7695 , 118.6451,1540.5205 , 67.7265,,,738640.7500 , 3423.8201,1557.5221 , 40.7730,,,119.1421 , 47.6269,<LOD,270.3552,157.5052 , 62.2778,<LOD,0.0000,178028.2031 , 454.4447,6023.2192 , 191.4253,1689.5892 , 191.5364,,,138.5869 , 51.9966,79.0552 , 4.1775,<LOD,6.6355,241.5304 , 30.9656,<LOD,0.0000,95.4791 , 16.5800,205.9998 , 12.1297,<LOD,581.7531,1930.9475 , 46.7761,170.1047 , 17.2991,4367.4067 , 35.2741,174.4158 , 4.4829,4458.0654 , 110.8745,4736.0293 , 55.9533,6752.3804 , 322.2322,<LOD,42.4012,159.4141 , 117.5344,<LOD,51.4983,3255.5581 , 18.7135,<LOD,0.0000,<LOD,12.5917,
3048,Mining,19.60,19.18,,,,"Thu Feb 29, 2024 - 10:00:58",User,1.5,ppm,,,,,LMW24,Mining,340.7005 , 299.5580,7139.6182 , 97.9291,<LOD,65.7671,,,805081.0000 , 1641.1545,319.9765 , 26.5904,,,<LOD,24.6586,<LOD,210.0769,<LOD,104.3812,292.7696 , 16.1454,120392.6875 , 365.2001,<LOD,0.0000,304.8012 , 18.4158,,,68.9203 , 43.0181,15.1295 , 2.4965,46.3074 , 2.7039,44.7522 , 20.0653,55922.0898 , 97.1032,20.6198 , 12.8195,24.8305 , 5.5692,<LOD,0.0000,1167.3961 , 34.5971,25.2437 , 11.2852,2784.9912 , 25.3814,9.8268 , 2.4159,<LOD,0.0000,<LOD,51.4002,5085.5200 , 290.1255,<LOD,10.8155,234.3211 , 111.9475,36.5162 , 18.7605,<LOD,19.3397,604.3153 , 17.0100,37.6109 , 5.5404,
3049,Mining,19.14,19.05,,,,"Thu Feb 29, 2024 - 10:01:49",User,1.5,ppm,,,,,LMW13,Mining,220.6720 , 193.8874,2899.5613 , 67.1354,<LOD,44.0462,,,737220.5625 , 2433.3354,84.0258 , 17.1710,,,<LOD,36.3626,<LOD,239.2068,<LOD,94.7146,394.7028 , 18.2420,229956.1875 , 403.4797,<LOD,0.0000,20.9672 , 10.6268,,,118.7065 , 44.6326,5.7583 , 2.1240,6.3261 , 1.9816,61.3148 , 29.1387,23632.2930 , 64.9256,41.6473 , 12.8317,41.4399 , 3.9941,<LOD,0.0000,594.5992 , 483.2538,13.5206 , 7.6932,1214.4775 , 20.3663,25.1070 , 1.7165,<LOD,0.0000,<LOD,32.6964,2684.8889 , 190.7675,<LOD,11.0348,<LOD,237.6899,<LOD,36.8000,<LOD,12.3517,696.0936 , 18.1951,67.1807 , 3.7858,
3050,Mining,19.52,19.55,,,,"Thu Feb 29, 2024 - 10:02:25",User,1.5,ppm,,,,,LMW13,Mining,216.1293 , 189.9082,3480.2925 , 72.2431,<LOD,46.1591,,,680116.8125 , 2903.7581,138.3776 , 18.9211,,,<LOD,24.9134,<LOD,256.0155,<LOD,96.7843,525.5732 , 20.9807,283712.1250 , 402.4331,<LOD,0.0000,26.5862 , 11.4388,,,<LOD,117.5392,11.7779 , 2.4498,19.8634 , 2.2909,100.1467 , 34.4997,25595.5176 , 69.6708,30.1905 , 14.4187,55.9563 , 4.3580,<LOD,0.0000,557.3083 , 452.9749,14.3787 , 8.1095,1097.1782 , 22.2452,30.8927 , 1.8650,<LOD,0.0000,<LOD,35.0629,3216.2925 , 189.2175,<LOD,6.8687,<LOD,246.9453,<LOD,39.0814,<LOD,13.1234,951.2167 , 21.5706,103.3775 , 4.2626,
3051,Mining,19.49,18.89,,,,"Thu Feb 29, 2024 - 10:02:57",User,1.5,ppm,,,,,LMW13,Mining,289.0801 , 254.1927,3963.7815 , 84.4720,<LOD,55.2708,,,671096.3750 , 3513.2737,144.0849 , 21.9700,,,42.1703 , 17.9250,<LOD,276.7101,<LOD,104.8826,513.1660 , 22.4476,286439.5000 , 444.1835,<LOD,0.0000,20.4374 , 12.9993,,,111.7407 , 49.1031,14.8100 , 2.6889,17.7257 , 2.5596,116.9719 , 37.0032,31006.2188 , 81.4783,79.8492 , 15.7016,36.1241 , 4.7332,<LOD,0.0000,687.4825 , 36.0497,<LOD,23.8002,1360.0017 , 24.5697,26.9774 , 2.1018,<LOD,0.0000,<LOD,41.6102,2968.3462 , 197.9856,<LOD,12.3032,<LOD,284.7395,<LOD,33.2931,<LOD,15.6639,970.8538 , 23.3818,94.3130 , 4.8468,
3052,Mining,18.98,19.00,,,,"Thu Feb 29, 2024 - 10:03:48",User,1.5,ppm,,,,,LMW13A,Mining,59.0244 , 51.9109,1302.5004 , 26.1081,<LOD,16.9875,,,823572.3750 , 1328.6968,11.3642 , 6.6137,,,<LOD,16.1934,<LOD,245.6806,<LOD,65.2077,498.4734 , 15.5928,167878.7031 , 290.5398,<LOD,0.0000,<LOD,6.6838,,,269.7871 , 38.0030,3.0415 , 1.4369,<LOD,1.7980,<LOD,28.6604,4422.3369 , 23.1884,<LOD,13.8583,7.6517 , 1.5062,<LOD,0.0000,123.4896 , 100.4631,<LOD,6.3378,307.0886 , 13.3529,6.0375 , 0.7000,<LOD,0.0000,<LOD,11.5585,128.4005 , 110.8696,<LOD,2.9616,<LOD,107.9959,<LOD,0.0000,26.4292 , 3.0011,1365.7183 , 19.7063,17.5642 , 1.5388,
3053,Mining,19.66,19.12,,,,"Thu Feb 29, 2024 - 10:04:48",User,1.5,ppm,,,,,LMW13A,Mining,161.9634 , 142.3641,2079.4756 , 46.6007,<LOD,29.3876,,,774979.8750 , 1949.8304,50.6137 , 11.9231,,,<LOD,19.2938,<LOD,330.2464,<LOD,77.8988,659.7916 , 20.0513,204796.1250 , 347.3430,<LOD,0.0000,<LOD,19.2190,,,310.9551 , 43.8475,7.6755 , 1.7958,<LOD,2.4371,<LOD,37.7853,13130.7568 , 44.1893,<LOD,26.6980,21.9112 , 2.6655,<LOD,0.0000,382.6667 , 311.1377,<LOD,7.9578,805.0854 , 16.9123,12.9066 , 1.1684,<LOD,0.0000,<LOD,22.2428,896.8641 , 139.0212,<LOD,5.1050,<LOD,132.0756,<LOD,43.5643,55.7088 , 5.7114,1609.6724 , 24.1642,37.9964 , 2.5909,
3054,Mining,19.49,19.52,,,,"Thu Feb 29, 2024 - 10:05:23",User,1.5,ppm,,,,,LMW13A,Mining,73.2646 , 64.4334,1952.1289 , 32.1871,<LOD,20.1651,,,792836.2500 , 1539.5452,31.4548 , 8.2693,,,<LOD,16.9577,<LOD,183.2725,<LOD,67.2838,687.6135 , 18.3003,194979.7656 , 299.2326,<LOD,0.0000,<LOD,7.6602,,,358.4339 , 40.2153,6.8774 , 1.5614,<LOD,1.9632,<LOD,50.9445,6523.7944 , 28.5812,<LOD,14.5706,12.4686 , 1.8263,<LOD,0.0000,123.8189 , 100.7285,<LOD,7.2806,333.0872 , 14.0419,7.1416 , 0.7993,<LOD,0.0000,<LOD,14.6118,202.0227 , 108.5897,<LOD,3.3762,<LOD,104.3241,<LOD,0.0000,38.5201 , 3.6893,1810.1036 , 22.9438,23.2835 , 1.8154,
3055,Mining,19.43,19.27,,,,"Thu Feb 29, 2024 - 10:06:14",User,1.5,ppm,,,,,LMW17,Mining,49.3180 , 43.3777,593.3546 , 63.8439,<LOD,42.7366,,,873936.9375 , 951.2848,143.9504 , 16.7027,,,<LOD,17.3176,<LOD,140.9673,<LOD,74.0667,113.5963 , 9.2288,81028.5391 , 257.0609,<LOD,0.0000,74.4228 , 9.9611,,,<LOD,62.1149,<LOD,2.4604,57.7101 , 1.7905,56.7009 , 12.8103,41110.6367 , 63.8511,<LOD,14.5178,<LOD,4.8660,<LOD,0.0000,82.6241 , 67.2228,15.5517 , 7.4666,321.1420 , 14.4865,<LOD,2.1491,<LOD,0.0000,<LOD,32.7674,2208.7532 , 194.4395,<LOD,6.1946,<LOD,184.1199,<LOD,17.9348,<LOD,12.0481,206.7731 , 8.5516,<LOD,5.0243,
3056,Mining,19.77,19.78,,,,"Thu Feb 29, 2024 - 10:06:55",User,1.5,ppm,,,,,LMW17,Mining,175.3905 , 154.1551,484.8831 , 87.2789,<LOD,58.9403,,,830467.3750 , 1523.1573,189.7166 , 22.9227,,,<LOD,22.4390,<LOD,180.7824,<LOD,91.0939,139.7000 , 11.6015,103692.6328 , 316.8519,<LOD,0.0000,93.0029 , 13.3886,,,71.3074 , 38.9447,7.2754 , 2.1863,90.5294 , 2.4774,39.3152 , 16.6460,59972.0000 , 89.1039,<LOD,19.4450,<LOD,6.9426,<LOD,0.0000,416.3287 , 338.4828,22.3828 , 10.2920,904.9968 , 19.8332,<LOD,3.0486,<LOD,0.0000,<LOD,45.7973,2839.0413 , 228.3016,<LOD,8.8112,112.9644 , 93.8961,42.3061 , 15.2931,<LOD,17.3170,238.8737 , 10.6397,<LOD,7.0968,
3057,Mining,20.03,19.93,,,,"Thu Feb 29, 2024 - 10:07:28",User,1.5,ppm,,,,,LMW17,Mining,178.2185 , 156.6504,1077.4110 , 95.3347,<LOD,65.3606,,,811731.2500 , 1730.8019,170.1949 , 24.8453,,,<LOD,23.9666,<LOD,192.9927,<LOD,94.8143,174.1859 , 12.8891,114423.2344 , 337.3150,<LOD,0.0000,90.0201 , 14.3803,,,109.9827 , 41.7815,8.5426 , 2.4866,104.7116 , 2.7046,81.4902 , 18.2279,66788.6484 , 98.3411,<LOD,20.7187,<LOD,7.7049,<LOD,0.0000,372.0963 , 302.5399,34.8049 , 11.3663,886.4982 , 21.0232,<LOD,3.3689,<LOD,0.0000,<LOD,49.6101,3455.5125 , 244.5698,<LOD,9.3715,<LOD,277.8012,<LOD,26.6138,<LOD,19.0694,242.3036 , 11.1646,70.8637 , 5.6822,
3058,Mining,19.57,18.80,,,,"Thu Feb 29, 2024 - 10:08:28",User,1.5,ppm,,,,,LMW22,Mining,130.6309 , 114.8956,13552.5762 , 61.2841,<LOD,36.4350,,,831261.8125 , 1395.9475,159.8441 , 16.0578,,,<LOD,18.3905,<LOD,174.9863,<LOD,75.5779,347.2125 , 13.9930,133012.9531 , 295.9470,<LOD,0.0000,128.1954 , 11.6098,,,44.7288 , 34.0853,4.2905 , 1.7473,14.4395 , 1.6092,52.9929 , 17.4693,16655.8008 , 46.2109,<LOD,15.5858,23.9439 , 2.9103,<LOD,0.0000,713.9047 , 25.6869,29.6806 , 6.3173,693.1780 , 15.9262,22.6944 , 1.3034,<LOD,0.0000,<LOD,26.4463,2599.2937 , 190.4202,<LOD,5.7088,<LOD,217.1946,<LOD,22.3423,<LOD,8.2891,510.8376 , 13.1003,40.9492 , 2.8892,
3059,Mining,19.23,19.27,,,,"Thu Feb 29, 2024 - 10:08:59",User,1.5,ppm,,,,,LMW22,Mining,171.5328 , 150.8606,15241.3906 , 69.8844,84.6987 , 28.9850,,,805544.6875 , 1702.0734,212.6245 , 18.5632,,,<LOD,26.5199,<LOD,190.7421,<LOD,81.3857,389.8695 , 15.4755,151504.4375 , 320.4230,<LOD,0.0000,166.1867 , 13.5139,,,<LOD,68.8537,5.2017 , 1.9386,17.5253 , 1.8113,81.4317 , 19.5272,21145.5664 , 54.5098,<LOD,17.3650,21.4341 , 3.4191,<LOD,0.0000,832.5977 , 28.5035,12.7018 , 7.4891,900.3242 , 17.8175,23.0617 , 1.4881,<LOD,0.0000,<LOD,31.0612,3028.9558 , 200.8841,<LOD,6.9046,<LOD,234.7510,<LOD,23.7356,<LOD,9.8756,563.7899 , 14.4778,52.0032 , 3.3931,
3060,Mining,19.45,19.31,,,,"Thu Feb 29, 2024 - 10:09:38",User,1.5,ppm,,,,,LMW22,Mining,180.8053 , 159.0132,20867.8555 , 77.8882,<LOD,45.7879,,,776699.4375 , 1976.0194,279.0737 , 20.9408,,,<LOD,27.0974,<LOD,208.1217,<LOD,87.2067,456.5246 , 17.2046,175495.4688 , 340.4995,<LOD,0.0000,33.4758 , 12.8803,,,49.0938 , 38.2972,6.3728 , 2.2245,9.8997 , 2.0695,73.7029 , 21.8426,19498.9629 , 55.8917,23.0782 , 13.0191,35.8549 , 3.7307,<LOD,0.0000,946.8276 , 31.9856,29.7494 , 7.7606,1034.9205 , 20.0053,33.0801 , 1.6040,<LOD,0.0000,<LOD,33.4714,3552.8091 , 210.3828,8.9727 , 4.4896,<LOD,273.4414,<LOD,24.3568,22.6812 , 6.9173,582.6592 , 15.2851,78.6569 , 3.8327,
3061,Mining,19.96,19.28,,,,"Thu Feb 29, 2024 - 10:10:43",User,1.5,ppm,,,,,LMW19,Mining,86.4621 , 76.0218,1308.0197 , 59.4579,<LOD,39.8811,,,890530.9375 , 882.5455,127.5728 , 15.5313,,,<LOD,17.8131,<LOD,130.6036,<LOD,76.1579,151.7005 , 9.6940,66474.3438 , 239.1598,<LOD,0.0000,108.8948 , 9.9936,,,<LOD,73.0233,5.0924 , 1.7086,45.0742 , 1.7550,19.0463 , 11.8376,36097.8789 , 58.8850,<LOD,15.2660,19.0387 , 3.2714,<LOD,0.0000,268.9204 , 218.7179,39.7160 , 7.1358,603.5065 , 15.1875,<LOD,2.0955,<LOD,0.0000,<LOD,30.3032,3646.0183 , 231.4177,<LOD,5.9615,185.3095 , 92.0909,<LOD,25.3463,<LOD,11.2979,243.7172 , 8.9111,38.7408 , 3.2916,
3062,Mining,19.21,19.25,,,,"Thu Feb 29, 2024 - 10:11:18",User,1.5,ppm,,,,,LMW19,Mining,109.7199 , 96.4527,2672.1426 , 77.0525,<LOD,52.6550,,,857948.9375 , 1203.4164,234.3339 , 20.6653,,,<LOD,20.9267,<LOD,159.2659,<LOD,114.6358,202.9672 , 12.0036,83984.6484 , 285.0271,<LOD,0.0000,120.6651 , 12.5318,,,43.1253 , 35.7798,3.0914 , 2.0767,60.7957 , 2.2278,29.2429 , 14.2962,49129.0469 , 77.7156,<LOD,17.7401,11.6093 , 4.2620,<LOD,0.0000,369.9629 , 300.8400,66.5702 , 9.3977,790.1616 , 18.3654,<LOD,2.7529,<LOD,0.0000,<LOD,40.0970,3836.4175 , 249.6157,<LOD,7.9735,<LOD,284.6483,<LOD,20.8825,<LOD,15.0516,338.7896 , 11.4170,47.7724 , 4.4110,
3063,Mining,19.62,19.02,,,,"Thu Feb 29, 2024 - 10:11:46",User,1.5,ppm,,,,,LMW19,Mining,118.0036 , 103.7382,2115.1379 , 75.5534,<LOD,50.7145,,,859889.9375 , 1170.9648,214.0602 , 20.1495,,,<LOD,20.8703,<LOD,157.8105,<LOD,86.2921,202.5699 , 11.8990,83219.2109 , 281.5424,<LOD,0.0000,127.7126 , 12.3563,,,<LOD,91.0610,4.0254 , 2.0787,60.8354 , 2.2140,29.0995 , 14.3525,48347.8750 , 76.2744,<LOD,17.8108,14.6745 , 4.1802,<LOD,0.0000,339.0935 , 275.7474,54.0231 , 9.0638,784.1536 , 18.2791,<LOD,2.7253,<LOD,0.0000,<LOD,39.2411,3992.1897 , 251.5441,<LOD,7.7475,120.8043 , 97.1770,<LOD,20.5805,<LOD,14.8272,305.0474 , 10.8684,61.5746 , 4.4086,
3064,Mining,19.18,19.28,,,,"Thu Feb 29, 2024 - 10:12:47",User,1.5,ppm,,,,,LMW21,Mining,339.9268 , 298.7762,166689.9531 , 269.2591,<LOD,143.4312,,,609162.4375 , 6448.9395,976.1526 , 72.4602,,,457.4516 , 182.8867,<LOD,389.0032,<LOD,194.4707,875.9543 , 33.6579,196104.6562 , 559.1478,<LOD,0.0000,<LOD,64.2920,,,94.5648 , 59.4482,<LOD,7.1531,<LOD,6.8573,92.3563 , 35.9085,13637.0674 , 89.8713,<LOD,32.6441,<LOD,11.5832,<LOD,0.0000,2914.3474 , 72.1369,166.5081 , 23.6913,3666.3484 , 46.0975,26.6704 , 2.8501,<LOD,0.0000,<LOD,103.1360,3735.0747 , 305.5806,74.3559 , 11.7846,135.0410 , 124.3559,<LOD,85.0375,301.8993 , 12.3977,549.2078 , 23.5376,<LOD,13.4826,
3065,Mining,20.70,,,,,"Thu Feb 29, 2024 - 10:13:20",User,1.5,ppm,,,,,LMW21,Mining,451.4630 , 396.6799,193927.0938 , 302.0779,<LOD,163.3393,,,555847.2500 , 8515.3477,1076.3075 , 80.8944,,,653.0992 , 261.0199,<LOD,498.8039,<LOD,176.5320,1061.7570 , 37.5157,213462.1406 , 609.4439,<LOD,0.0000,<LOD,73.2515,,,85.0249 , 61.4534,<LOD,8.1789,<LOD,8.1251,<LOD,97.6255,18170.4082 , 108.3969,<LOD,63.6278,<LOD,14.0013,<LOD,0.0000,3886.2532 , 85.4421,116.6795 , 26.1794,4971.9995 , 54.6597,37.7133 , 3.4678,<LOD,0.0000,<LOD,117.3012,4868.4595 , 335.1662,70.9564 , 13.6551,157.0937 , 132.3278,89.3818 , 35.7367,410.9463 , 15.0469,655.9608 , 26.1761,<LOD,15.7936,
